;             train/loss;              test/loss;  metrics/accuracy_top1;  metrics/accuracy_top5;                   lr/0
0;0,6479;2,3603;0,5283;1;              0.0009802
1;0,5332;0,75325;0,67689;1;              0.0009604
2;0,49249;0,53113;0,71462;1;              0.0009406
3;0,46151;0,47747;0,85377;1;              0.0009208
4;0,43745;0,54381;0,72877;1;               0.000901
5;0,42103;0,31558;0,96934;1;              0.0008812
6;0,41422;0,43043;0,88915;1;              0.0008614
7;0,4177;0,47767;0,89151;1;              0.0008416
8;0,39563;0,35434;0,9717;1;              0.0008218
9;0,40122;0,4548;0,90566;1;               0.000802
10;0,38993;0,41286;0,87736;1;              0.0007822
11;0,38469;0,54788;0,51887;1;              0.0007624
12;0,38198;0,605;0,48585;1;              0.0007426
13;0,37582;0,4156;0,91038;1;              0.0007228
14;0,36244;0,78833;0,89151;1;               0.000703
15;0,37493;0,46526;0,86792;1;              0.0006832
16;0,36352;0,28604;0,95519;1;              0.0006634
17;0,34162;0,28903;0,96934;1;              0.0006436
18;0,33494;0,34841;0,96462;1;              0.0006238
19;0,33309;0,36766;0,91274;1;               0.000604
20;0,33671;0,32268;0,96698;1;              0.0005842
21;0,33557;0,25577;0,97642;1;              0.0005644
22;0,33021;0,27273;0,96462;1;              0.0005446
23;0,32156;0,26291;0,9717;1;              0.0005248
24;0,32467;0,39979;0,92689;1;               0.000505
25;0,33677;0,26182;0,96698;1;              0.0004852
26;0,32854;0,2811;0,96698;1;              0.0004654
27;0,32988;0,45029;0,88208;1;              0.0004456
28;0,31975;0,2548;0,97877;1;              0.0004258
29;0,32228;0,27691;0,96462;1;               0.000406
30;0,32145;0,28874;0,96934;1;              0.0003862
31;0,31705;0,38343;0,90566;1;              0.0003664
32;0,33377;0,81991;0,90566;1;              0.0003466
33;0,3162;0,27243;0,9717;1;              0.0003268
34;0,31086;0,27981;0,98113;1;               0.000307
35;0,31151;0,26484;0,97877;1;              0.0002872
36;0,30528;0,34789;0,96934;1;              0.0002674
37;0,31772;0,2956;0,93868;1;              0.0002476
38;0,30204;0,31849;0,96934;1;              0.0002278
39;0,30293;0,3116;0,95991;1;               0.000208
40;0,29289;0,31282;0,94575;1;              0.0001882
41;0,30284;0,2383;0,98349;1;              0.0001684
42;0,2911;0,28421;0,97406;1;              0.0001486
43;0,29113;0,26706;0,97406;1;              0.0001288
44;0,30362;0,26177;0,9717;1;               0.000109
45;0,28662;0,26724;0,98349;1;               8.92e-05
46;0,29961;0,25695;0,97642;1;               6.94e-05
47;0,27835;0,27864;0,9717;1;               4.96e-05
48;0,28373;0,2816;0,96934;1;               2.98e-05
49;0,28864;0,23611;0,98349;1;1,00E-05
